"",gene_symbol,GSM1545535,GSM1545536,GSM1545537,GSM1545538,GSM1545539,GSM1545540,GSM1545541,GSM1545542,GSM1545543,GSM1545544,GSM1545545
ENSMUSG00000021313,Ryr2,0.15952,0.12226,0.13741,0.53377,0.95891,0.04558,0.0431,0.76501,0.21748,0.68677,0.21627
ENSMUSG00000021314,Amph,0,0,0,0.12201,0.11986,0.01139,0,0.07969,0,0,0
ENSMUSG00000021318,Gli3,9.54481,34.5739,18.39033,72.15081,83.21997,31.17526,12.64289,79.49699,99.56923,39.26698,16.82589
ENSMUSG00000021319,Sfrp4,1.38253,2.02944,0.66416,0.99129,1.78084,0.6267,4.32444,2.05596,1.77608,0.68677,3.28732
ENSMUSG00000021322,Aoah,0.02659,0.02445,0.06871,0.16776,0.05137,0.04558,0.0862,0.14344,0.14499,0.12119,0.04325
ENSMUSG00000021326,Trim27,32.8352,29.2191,87.30252,51.10492,57.24369,38.9235,35.24204,56.8974,77.82131,25.77401,33.52202
ENSMUSG00000021327,Zkscan3,36.55741,42.59387,74.24836,39.30092,36.13048,44.38145,43.97713,45.56574,63.7939,51.99239,37.37165
ENSMUSG00000021335,Slc17a1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021336,Slc17a4,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021337,Scgn,0,0,0.0229,0,0.08562,0.01139,0,0,0,0,0
ENSMUSG00000021338,Carmil1,91.00802,98.04903,44.63605,68.41441,72.70617,103.3592,94.46247,72.8988,45.09069,122.40633,102.38275
ENSMUSG00000021339,Mrs2,8.80037,18.70511,25.14642,12.52078,15.12001,18.48182,14.29508,11.2201,25.1551,19.10832,12.80325
